DrugBank ID	HMDB ID	PTID_num	SMILES	T3DB ID
			[NH4+].CC12CCC(C)(CC1C1=CC(=O)C3C4(C)CCC(OC5OC(C(O)C(O)C5OC5OC(C(O)C(O)C5O)C(O)=O)C(O)=O)C(C)(C)C4CCC3(C)C1(C)CC2)C(O)=O	
			CC(C)(COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)C=CC1=CC=CC=C1	
			CC(C)(COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[CH](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC(O)=O	
			O[CH](C(C)(C)COP(=O)(O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(=O)NCCC(=O)NCCSC(=O)C=CCCC(O)=O	
			[H]OC(=O)C1([H])N(C(=O)C([H])(N([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]	
			[H]C1=C([H])C([H])=C2C([H])=C(OC(=S)N(C3=C([H])C([H])=C([H])C(=C3[H])C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C2=C1[H]	
			CCC(C)C1NC(=O)CNC(=O)C2CC3=C(NC4=CC(O)=CC=C34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)CC)C(=O)N2	T3D3588
			[H]C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
			[H]OC1=C(C(=O)C2=C([H])C([H])=C([H])C([H])=C2O1)C([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C(=O)C([H])([H])[H]	
			[Cl-].OC[CH]1O[CH](OC2=CC(O)=CC3=[O+]C(=C(O[CH]4O[CH](CO)[CH](O)[CH](O)[CH]4O)C=C23)C2=CC=C(O)C=C2)[CH](O)[CH](O)[CH]1O	
